Counties,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
ALBANY,139.2,112.7,148.6,49.5,93.5,72,69.4,72.5,119.7,156.2,214,213.2,143.5,117,102.9,75.9,33.4,56,22.4,19.5,4.9,8.3,2.6,2.3,2.7,4.7
ALLEGANY,29.9,10.7,29.7,8.4,12.6,2.1,6.2,8.2,6.1,12.2,12.1,4,2,0,2,4,4,2,2,0,0,3.9,2,0,0,9.8
BROOME,170.4,113.1,204.8,149.6,101.9,76.9,104.5,32.2,30.9,11.3,12.3,9.7,1.5,2,5.6,2.5,2.5,0.5,0,2.6,0.9,0.5,1.4,1.4,0,1.4
CATTARAUGUS,65.9,22,37.3,15.4,15.3,6.3,5,3.8,7.5,3.8,11.3,5,0,0,0,0,0,0,0,0,1.2,0,0,3.6,0,0
CAYUGA,46.4,9,25.7,8.9,14,8.8,15.1,3.8,2.5,2.5,12.5,0,1.2,1.2,2.4,0,0,1.2,2.4,3.7,0,4.7,0,0,0,0
CHAUTAUQUA,24,7,3.1,3.1,1.5,4.5,6.7,4.5,5.2,2.2,6,5.2,1.5,0.7,2.2,1.5,0.7,0,1.4,2.9,2.1,0,0,0.7,0.7,2.8
CHEMUNG,42.1,93.5,133.2,108,70.6,33.9,28.1,6.8,7.9,1.1,3.4,0,2.3,0,4.4,0,0,1.1,0,1.1,3,1,0,2,2,3.1
CHENANGO,60.6,173.4,261.4,90.1,127.5,74.7,68.1,27.9,39.6,15.8,19.6,7.8,13.5,3.9,1.9,0,0,3.9,0,5.9,1.9,0,1.9,3.8,3.8,7.6
CLINTON,75.3,52.9,67.8,36.9,27,30.6,46.5,11,15.8,11,7.3,8.5,1.2,3.7,6.1,6.1,11.1,2.5,6.3,3.8,4.5,3.4,0,1.2,5.6,4.5
COLUMBIA,635.3,414.2,711.6,635.7,623,474,484.8,546.8,562.6,623.2,922.5,936.5,505.1,589.4,568.6,637.2,1422.9,1583.4,1025.5,944.4,602.4,376,208,234.5,59.3,53
CORTLAND,192.5,46,95.7,51.6,22.4,28.6,16.2,14.2,8.1,8.3,12.4,2.1,6.2,2.1,2,0,0,0,2.1,0,0,0,2,2,4,2
DELAWARE,313.3,235.6,272.4,119.4,103.1,53.5,48.7,27.3,20.8,17.6,19.5,19.4,8.5,4.2,12.7,4.2,0,4.2,4.2,2.2,6.4,4.2,4.2,0,8.5,2.1
DUTCHESS,216.5,234.5,197.3,130.5,169.6,224,143.6,146,147.9,176.8,334.3,389.8,186.7,315.4,476.5,369.9,445.9,614,400.1,404.9,511.6,572,388.2,683.6,346.2,325
ERIE,13.2,7.1,9.7,5.7,2.5,3.3,2.3,1.2,1.5,1.7,1.5,0.9,0.8,0.4,1.1,0.1,0.1,0.4,0.4,0.8,1,0.7,0.6,0.7,1.7,2
ESSEX,281.9,97.5,317.6,194.9,116.3,82.6,213,56.2,40.6,63.7,113.7,63,15.5,10.3,2.6,5.1,2.6,5.1,5.1,2.7,0,0,2.6,5.3,2.6,0
FRANKLIN,133,45,81.3,29.6,23.4,17.4,34.8,13.6,17.4,13.9,9.9,9.9,2,3.9,2,0,2,5.9,0,4.1,0,0,0,0,0,2
FULTON,144.8,53.8,74.3,11.1,44.4,23.8,41.9,16.3,14.4,5.4,18.2,10.9,1.8,0,3.6,1.8,0,0,1.8,1.9,5.5,0,5.5,3.7,0,5.5
GENESEE,24.2,10.4,10.3,10.2,16.9,6.7,3.3,1.7,1.7,0,0,1.7,0,0,0,0,1.7,0,0,0,1.6,4.9,4.9,0,0,3.3
GREENE,444.5,273.9,753.6,623.6,658.8,505.6,669.8,414.7,629.8,516.9,820.5,635.6,315.1,295.9,246,202.6,245.2,371.4,197.1,200.6,64.4,46.3,29.5,29.9,4.3,17.2
HAMILTON,44.6,22.3,22,42.4,21.2,21,20.9,0,0,20.3,19.9,0,58.1,0,0,18.9,0,0,0,19.3,0,0,18.2,0,0,18.5
HERKIMER,73.9,49.8,76.7,39.6,54.9,31.2,58.9,35.8,18.6,14.5,24.1,17.6,6.3,7.8,3.1,3.1,3.1,4.7,1.6,0,0,0,1.5,0,0,0
JEFFERSON,121.7,46.4,58.8,45.1,50.4,24.3,84,36.5,37.9,25.3,41.5,31.6,7,12,1.8,0.9,0.9,6.3,3.6,3.6,2.6,5.2,3.5,0.9,0,0
LEWIS,162,52.7,70.7,59.4,33.1,14.7,25.7,25.9,7.4,11.5,11.5,7.6,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0
LIVINGSTON,67.4,20.4,21.8,4.6,3.1,1.5,6.2,1.5,7.6,1.6,3.2,3.2,0,0,1.5,0,3.1,1.6,0,1.5,0,0,1.5,1.5,0,1.5
MADISON,115.6,80.3,93.9,40.4,23.5,9.7,48.4,8.2,19.1,11.4,8.6,15.8,0,1.4,4.2,4.3,5.7,7.2,2.9,0,4.1,4.2,2.8,0,0,2.8
MONROE,9.4,13.5,24.6,14.5,16.4,8,11.9,5.4,3,1.8,3.4,1.6,1.4,0.8,1.4,0.5,0.4,0.5,0.4,0.6,0.5,1,1,0.3,0.7,0.4
MONTGOMERY,115.7,99.5,85.2,28.2,44.2,36.1,52.1,40.1,59.7,47.3,43.1,51.3,14.3,8.2,6.1,4.1,2,2,2,4,0,1.9,0,0,0,1.9
NASSAU,9.9,10,9.4,11.3,7.8,5,4.9,4.2,7.3,4.9,16.1,3.1,7.8,8.7,9.1,4.4,5.6,6.1,3.6,6.6,8.4,8.6,9.4,12.8,13.7,11.5
NIAGARA,1.4,0.9,3.3,0,2.3,3.3,2.3,0.5,0.5,1.9,2.3,1.4,0.9,0.5,0,0.5,1.4,0.5,0.5,0.9,0,2.2,0,1.8,5.4,1.8
ONEIDA,45,34.2,41.5,14.2,38.2,17.6,35.1,15.4,20.9,7.8,6,11.2,3.8,1.3,2.1,0.4,0.9,0.8,0.4,2.2,0,0.4,0.8,2,2.3,2
ONONDAGA,33.7,31.4,27.5,6.6,27.1,27.8,21,10.5,18.4,18,8.2,14.8,2.2,2.8,2.2,2.4,1.5,2,1.1,2.2,1.9,0.6,1,0.2,0.4,0
ONTARIO,33.7,30.9,56.5,19.2,23.7,13.7,16.6,6.5,1.9,4.7,2.9,1.9,2.9,1.9,1.9,2,1,2,1,0,0,1,0,0,2.1,1
ORANGE,105.2,144.4,137.4,140.6,184.5,139.8,193.6,145.4,255.6,168.2,286.6,262.8,135.4,125.2,144.7,142.6,164.5,158.5,155.8,182.8,132,120.3,78.2,81.3,77.3,91.5
ORLEANS,14.6,12.2,4.8,4.8,7.1,4.7,9.3,0,0,0,0,2.4,2.3,0,2.3,0,2.3,0,0,0,0,0,0,0,2.3,4.5
OSWEGO,97.1,76,105.1,63.3,42.2,28.9,46,13.9,6.6,4.1,3.3,4.9,3.3,0.8,0,2.4,3.3,0,1.6,1.6,2.4,4,2.4,0.8,2.4,2.4
OTSEGO,384.4,198,311.2,174.8,165.2,85.9,102.1,51.7,56.2,27.6,21,22.4,12.8,3.2,0,1.6,3.2,4.9,1.6,3.3,0,1.6,4.9,4.9,4.9,4.9
PUTNAM,280.9,321.1,349.9,347.3,323.7,324.2,295.2,242.2,346,172.3,383.9,203,139.2,148.3,189.9,205.9,308.4,258,220.4,305.8,193.3,258.2,170.2,384.9,312.9,378.8
RENSSELAER,314.9,224.1,395.5,310.1,338.6,268.9,382.3,317.5,411.5,207.7,283.4,349,224.7,174.6,135,129.9,102.4,80,57.7,44.9,15,4.4,5.7,7.6,3.2,6.4
ROCKLAND,57.5,56.3,63.3,50.6,103.8,75.7,73.3,76.5,89.5,81,109.9,119.1,67.8,83,86.5,57,67.2,41.8,33.8,24.6,19.6,36.3,30.5,16.7,42.8,44.3
ST LAWRENCE,189.7,78.5,209,121.6,95.2,99.1,138.1,44.8,35.7,30.1,42.8,22.8,9,0.9,1.8,1.8,3.6,0.9,0.9,2.7,1.8,1.8,1.8,0.9,0,0.9
SARATOGA,157.1,83.5,139.2,108.3,112.5,75.9,213.4,153.9,239.1,133.1,187.4,168.6,58.5,38.6,32.4,20,5.3,7.5,7.5,5.5,0.5,1,2.5,3.1,3.1,3.1
SCHENECTADY,54,55.9,74.4,75.7,75.8,33.5,36.7,21.9,51.1,38.1,86.5,61.7,22.6,14.8,17.6,11.5,8.8,4.8,2,4.9,4,4.7,1.3,3.3,2.7,2
SCHOHARIE,248.3,232.3,188.4,95.8,104.5,62.8,96.6,36.8,88.6,44.4,81.5,71.7,34.2,15.5,12.5,6.3,6.3,6.3,6.3,0,0,5.9,5.9,0,9.1,9.1
SCHUYLER,216.7,133.3,254.2,110,140.7,48.8,183.6,76.2,38.2,21.4,5.3,5.3,5.2,5.2,0,0,5.2,5.2,0,5.2,0,0,0,0,5.2,0
SENECA,78.3,34.8,51.8,34.5,22.9,5.6,11.3,11.4,22.7,0,8.8,0,0,5.7,5.7,0,5.7,3,0,3.1,0,2.9,0,2.9,0,5.8
STEUBEN,23.9,76.9,108.3,69.7,36.6,23.3,20.2,9.1,4,3.1,2.1,5.2,0,0,1,0,0,0,0,2,1,2,1,2,0,0
SUFFOLK,29,31.9,35,42.9,44.5,43.6,37.8,46,43.9,40.1,32.9,37.3,15.9,12.9,36.7,38.2,19.7,36.1,29.4,42,61.6,67.2,61.8,92.2,100,132.1
SULLIVAN,151,80.8,50.8,134.9,127.7,112.2,130.2,110.5,156,193.9,149.6,154.7,90.1,44.4,47.3,52,20.2,24.3,10.8,20.2,4.3,8.6,4.3,11.4,24.4,12.9
TIOGA,247,160.6,252.3,131.4,164.4,83.6,120.8,52.9,46.9,32,14,2,5.9,3.9,1.9,5.8,5.8,7.7,5.8,3.8,0,0,3.7,0,1.9,1.9
TOMPKINS,174.6,156.5,176.4,122.9,129,99.4,86.8,85.5,142.8,68.8,48.5,41.6,8,2,3,4.9,10.1,5.2,3.1,8.2,5.8,5,5.9,6.1,5.1,14.3
ULSTER,249.1,148.8,233.8,194.9,284.9,224.3,236,202.8,225.8,199,320.4,427.8,197.6,196,220.1,162.9,166.7,187.9,113.6,127.9,89.2,98.2,64.3,36.3,31,24.4
WARREN,302.2,60.4,37.2,83.5,61.6,70.4,116,50.1,28.9,51.5,142.5,30.2,30.3,18.3,18.4,13.9,0,1.6,4.7,0,0,0,0,3.2,0,1.6
WASHINGTON,232.1,89.3,139.2,136.6,120.3,111,216.1,188.4,430.3,215.1,312.1,291.7,131,88.9,35,27.5,8.2,1.6,0,1.7,0,0,1.6,3.3,0,6.6
WAYNE,52.9,16.5,23.1,18.6,14.1,7.6,16.1,2.1,3.2,1.1,1.1,2.2,2.2,0,0,0,0,1.1,2.1,1,0,0,1.1,0,1.1,1.1
WESTCHESTER,33.6,31.8,41.8,35.1,39.6,20,25.7,22.1,66.9,42.3,69.1,107.8,37.9,28,48.6,79.3,79.6,36.7,44.7,30.9,60.5,62.2,32.4,77.7,78.2,151.4
WYOMING,27.2,2.5,4.9,7.3,7.3,4.8,2.4,4.8,3.4,2.4,4.8,0,2.3,2.3,2.3,0,2.3,2.3,2.3,0,0,2.3,4.5,2.3,2.3,0
YATES,56.1,128.2,224.7,63.9,91.2,51.7,55.2,19.6,15.8,4.1,0,0,0,4,0,0,4.1,0,0,4.1,0,0,0,16.7,0,0
NYC,8.8,8.7,12.7,11.1,11.1,10.1,8.9,6.6,8.9,8.7,12.6,9.8,5.1,3.7,4.9,4.4,2.8,0.7,1.2,2.4,1.8,1.9,2.3,5.4,6.1,1.3