lats,longs
42.588271,-73.974014
42.247894,-78.026176
42.161977,-75.830291
42.244853,-78.681006
43.008546,-76.574587
42.304216,-79.407595
42.155281,-76.747179
42.489732,-75.604905
44.75271,-73.705648
42.247729,-73.626805
42.593824,-76.076265
42.193987,-74.966728
41.755009,-73.739951
42.752759,-78.778192
44.108971,-73.777573
44.594374,-74.31067
43.115609,-74.423678
43.00091,-78.192778
42.286951,-74.149495
43.657879,-74.502456
43.461635,-74.894694
43.995371,-76.053522
43.786397,-75.442617
42.727485,-77.76978
42.910026,-75.663575
43.464475,-77.664656
42.900891,-74.435358
40.729687,-73.589384
43.456731,-78.792143
43.242727,-75.434282
43.00653,-76.196117
42.856695,-77.303277
41.40241,-74.306252
43.502287,-78.229726
43.461443,-76.209258
42.629776,-75.028841
41.427904,-73.743882
42.710421,-73.513845
41.154785,-74.024772
44.488113,-75.074311
43.106135,-73.855387
42.817542,-74.043583
42.591294,-74.438172
42.419776,-76.938604
42.782294,-76.827088
42.266725,-77.385525
40.943554,-72.692218
41.720176,-74.76468
42.178057,-76.29745
42.453281,-76.473712
41.947232,-74.265447
43.555105,-73.838139
43.312377,-73.439428
43.458758,-77.063164
41.15277,-73.745912
42.701363,-78.228567
42.638237,-77.104324
40.563855,-74.137063